Timestamp,INDI_Outer.disturbance,INDI_Outer.disturbance_f,INDI_Outer.disturbance_a
67777,0.8174999952316284,0.8175039291381836,0.8175032138824463
67797,0.8174999952316284,0.8175038695335388,0.8175032138824463
67817,0.8174999952316284,0.8175040483474731,0.8175032138824463
67837,0.8174999952316284,0.8175041079521179,0.8175032138824463
67857,0.8174999952316284,0.8175039291381836,0.8175032138824463
67877,0.8174999952316284,0.8175038695335388,0.8175032138824463
67897,0.8174999952316284,0.8175040483474731,0.8175032138824463
67917,0.8174999952316284,0.8175041079521179,0.8175032138824463
67937,0.8174999952316284,0.8175039291381836,0.8175032138824463
67957,0.8174999952316284,0.8175038695335388,0.8175032138824463
67977,0.8174999952316284,0.8175040483474731,0.8175032138824463
67997,0.8174999952316284,0.8175041079521179,0.8175032138824463
68017,0.8174999952316284,0.8175039291381836,0.8175032138824463
68037,0.8174999952316284,0.8175038695335388,0.8175032138824463
68057,0.8174999952316284,0.8175040483474731,0.8175032138824463
68077,0.8174999952316284,0.8175041079521179,0.8175032138824463
68097,0.8174999952316284,0.8175039291381836,0.8175032138824463
68117,0.8174999952316284,0.8175038695335388,0.8175032138824463
68137,0.8174999952316284,0.8175040483474731,0.8175032138824463
68157,0.8174999952316284,0.8175041079521179,0.8175032138824463
68177,0.8174999952316284,0.8175039291381836,0.8175032138824463
68197,0.8174999952316284,0.8175038695335388,0.8175032138824463
68217,0.8174999952316284,0.8175040483474731,0.8175032138824463
68237,0.8174999952316284,0.8175041079521179,0.8175032138824463
68257,0.8174999952316284,0.8175039291381836,0.8175032138824463
68277,0.8174999952316284,0.8175038695335388,0.8175032138824463
68297,0.8174999952316284,0.8175040483474731,0.8175032138824463
68317,0.8174999952316284,0.8175041079521179,0.8175032138824463
68337,0.8174999952316284,0.8175039291381836,0.8175032138824463
68357,0.8174999952316284,0.8175038695335388,0.8175032138824463
68377,0.8174999952316284,0.8175040483474731,0.8175032138824463
68397,0.8174999952316284,0.8175041079521179,0.8175032138824463
68417,0.8174999952316284,0.8175038695335388,0.8175032138824463
68437,0.8174999952316284,0.8175039291381836,0.8175032138824463
68457,0.8174999952316284,0.8175041079521179,0.8175032138824463
68477,0.8174999952316284,0.8175040483474731,0.8175032138824463
68497,0.8174999952316284,0.8175038695335388,0.8175032138824463
68517,0.8174999952316284,0.8175039291381836,0.8175032138824463
68537,0.8174999952316284,0.8175041079521179,0.8175032138824463
68557,0.8174999952316284,0.8175040483474731,0.8175032138824463
68577,0.8174999952316284,0.8175038695335388,0.8175032138824463
68597,0.8174999952316284,0.8175039291381836,0.8175032138824463
68617,0.8174999952316284,0.8175041079521179,0.8175032138824463
68637,0.8174999952316284,0.8175040483474731,0.8175032138824463
68657,0.8174999952316284,0.8175038695335388,0.8175032138824463
68677,0.8174999952316284,0.8175039291381836,0.8175032138824463
68697,0.8174999952316284,0.8175041079521179,0.8175032138824463
68717,0.8174999952316284,0.8175040483474731,0.8175032138824463
68737,0.8174999952316284,0.8175038695335388,0.8175032138824463
68757,0.8174999952316284,0.8175039291381836,0.8175032138824463
68777,0.8174999952316284,0.8175041079521179,0.8175032138824463
68797,0.8174999952316284,0.8175040483474731,0.8175032138824463
68817,0.8174999952316284,0.8175038695335388,0.8175032138824463
68837,0.8174999952316284,0.8175039291381836,0.8175032138824463
68857,0.8174999952316284,0.8175041079521179,0.8175032138824463
68877,0.8174999952316284,0.8175040483474731,0.8175032138824463
68897,0.8174999952316284,0.8175038695335388,0.8175032138824463
68917,0.8174999952316284,0.8175039291381836,0.8175032138824463
68937,0.8174999952316284,0.8175041079521179,0.8175032138824463
68957,0.8174999952316284,0.8175040483474731,0.8175032138824463
68977,0.8174999952316284,0.8175038695335388,0.8175032138824463
68997,0.8174999952316284,0.8175039291381836,0.8175032138824463
69017,0.8174999952316284,0.8175041079521179,0.8175032138824463
69037,0.8174999952316284,0.8175040483474731,0.8175032138824463
69057,0.8174999952316284,0.8175038695335388,0.8175032138824463
69077,0.8174999952316284,0.8175039291381836,0.8175032138824463
69097,0.8174999952316284,0.8175041079521179,0.8175032138824463
